time,latitude,longitude,t2m,tp,d2m,number,temp_C,dewpoint_C,precip_mm,RH,outbreak_idx,outbreak_date,sno,week_of_outbreak,state_ut,district,Disease,Cases,Deaths,day,mon,year,Latitude,Longitude,preci,Temp,week_num,precip_roll3_std,precip_7sum,stagnation,temp_suit,rain_suit,rh_suit,MSI,LAI,cases,lai_suit,MSI_new
2013-08-10,28.6,77.19999999999999,298.17493,0.0042680628,297.36307,0.0,25.024933,24.213074,4.2680626,95.261665,12,2013-09-16,5951,38th week,Delhi,New Delhi,Dengue,1345.0,2.0,11,7,2013,28.6138954,77.2090057,0.5165098757,308.8066666,38,4.703542051587358,54.90211021900177,0,0.8617027553986094,0.14226875333333336,0.9052332999999999,0.6589317149834242,0.669743827020532,1345.0,0.1339487654041064,0.5809712659069318
2013-08-11,28.6,77.19999999999999,298.54797,0.008101079,297.31854,0.0,25.39798,24.168549,8.101079,92.92102,13,2013-09-23,5979,39th week,Delhi,New Delhi,Dengue,2115.0,3.0,11,7,2013,28.6138954,77.2090057,0.5165098757,308.8066666,39,4.721568834616679,62.17128002643585,0,0.89421081124375,0.2700359666666667,0.8584204,0.6962212288395968,0.6360218009908523,2115.0,0.12720436019817044,0.6088164698704674
2013-08-11,28.6,77.19999999999999,298.54797,0.008101079,297.31854,0.0,25.39798,24.168549,8.101079,92.92102,12,2013-09-16,5951,38th week,Delhi,New Delhi,Dengue,1345.0,2.0,11,7,2013,28.6138954,77.2090057,0.5165098757,308.8066666,38,4.721568834616679,62.17128002643585,0,0.89421081124375,0.2700359666666667,0.8584204,0.6962212288395968,0.6360218009908523,1345.0,0.12720436019817044,0.6088164698704674
2013-08-12,28.6,77.19999999999999,298.6956,0.0046919975,297.27313,0.0,25.545593,24.123138,4.6919975,91.858986,13,2013-09-23,5979,39th week,Delhi,New Delhi,Dengue,2115.0,3.0,11,7,2013,28.6138954,77.2090057,0.5165098757,308.8066666,39,2.101331796484943,65.88811874389648,0,0.9058732230992343,0.15639991666666667,0.8371797200000001,0.6604231879552827,0.6022997749611724,2115.0,0.12045995499223447,0.5851572075714742
2013-08-12,28.6,77.19999999999999,298.6956,0.0046919975,297.27313,0.0,25.545593,24.123138,4.6919975,91.858986,12,2013-09-16,5951,38th week,Delhi,New Delhi,Dengue,1345.0,2.0,11,7,2013,28.6138954,77.2090057,0.5165098757,308.8066666,38,2.101331796484943,65.88811874389648,0,0.9058732230992343,0.15639991666666667,0.8371797200000001,0.6604231879552827,0.6022997749611724,1345.0,0.12045995499223447,0.5851572075714742
2013-08-12,28.6,77.19999999999999,298.6956,0.0046919975,297.27313,0.0,25.545593,24.123138,4.6919975,91.858986,14,2013-10-07,6028,41st week,Delhi,New Delhi,Dengue,3519.0,5.0,11,7,2013,28.6138954,77.2090057,0.5165098757,308.8066666,41,0.0,4.691997528076172,1,0.9058732230992343,0.15639991666666667,0.8371797200000001,0.6604231879552827,0.6022997749611724,3519.0,0.12045995499223447,0.5851572075714742
2013-08-13,28.6,77.19999999999999,298.5209,0.008612862,297.47058,0.0,25.37091,24.320587,8.612862,93.922966,14,2013-10-07,6028,41st week,Delhi,New Delhi,Dengue,3519.0,5.0,11,7,2013,28.6138954,77.2090057,0.5165098757,308.8066666,41,2.772469596915246,13.304859161376951,1,0.8919982151859374,0.2870954,0.87845932,0.7064657196095214,0.5685777489314926,3519.0,0.11371554978629853,0.6126533400316346
2013-08-13,28.6,77.19999999999999,298.5209,0.008612862,297.47058,0.0,25.37091,24.320587,8.612862,93.922966,13,2013-09-23,5979,39th week,Delhi,New Delhi,Dengue,2115.0,3.0,11,7,2013,28.6138954,77.2090057,0.5165098757,308.8066666,39,2.13138973453848,59.56014251708984,0,0.8919982151859374,0.2870954,0.87845932,0.7064657196095214,0.5685777489314926,2115.0,0.11371554978629853,0.6126533400316346
2013-08-13,28.6,77.19999999999999,298.5209,0.008612862,297.47058,0.0,25.37091,24.320587,8.612862,93.922966,12,2013-09-16,5951,38th week,Delhi,New Delhi,Dengue,1345.0,2.0,11,7,2013,28.6138954,77.2090057,0.5165098757,308.8066666,38,2.13138973453848,59.56014251708984,0,0.8919982151859374,0.2870954,0.87845932,0.7064657196095214,0.5685777489314926,1345.0,0.11371554978629853,0.6126533400316346
2013-08-14,28.6,77.19999999999999,298.09775,0.004966767,297.02704,0.0,24.947754,23.877045,4.966767,93.78931,14,2013-10-07,6028,41st week,Delhi,New Delhi,Dengue,3519.0,5.0,11,7,2013,28.6138954,77.2090057,0.5165098757,308.8066666,41,2.1887089340087487,18.271625995635983,0,0.8544342868044374,0.1655589,0.8757862,0.6541772193312645,0.5721307903567755,3519.0,0.1144261580713551,0.572927966336046
